modelo,tecnica_a,tecnica_b,n,media_a,media_b,diferenca_media_a_menos_b,ic95_diff_inf,ic95_diff_sup,wilcoxon_W,p_original,rank_biserial,p_holm,significativo_holm,interpretacao
Qwen/Qwen3-8B,zero-shot,one-shot,259,54.21126796803419,48.05786594037384,6.153402027660356,5.259174262860567,7.038521475911599,3254.0,2.206580993822003e-29,0.8067122067122067,6.619742981466009e-29,True,zero-shot > one-shot
Qwen/Qwen3-8B,zero-shot,few-shot,259,54.21126796803419,48.08337043187793,6.127897536156261,5.208728714403498,7.071898435708638,3433.0,1.1738660816997414e-28,0.7960795960795961,2.347732163399483e-28,True,zero-shot > few-shot
Qwen/Qwen3-8B,one-shot,few-shot,259,48.05786594037384,48.08337043187793,-0.02550449150409494,-0.5701698233998423,0.5201054950846663,16373.0,0.7816760133773976,0.019903624554787346,0.7816760133773976,False,diferença não significativa
google/gemma-4-E4B-it,zero-shot,one-shot,259,42.38380396603876,39.49564604463926,2.8881579213995043,2.107475865423665,3.6801457400286646,8733.0,1.8943483742313044e-11,0.48125928125928125,3.788696748462609e-11,True,zero-shot > one-shot
google/gemma-4-E4B-it,zero-shot,few-shot,259,42.38380396603876,37.95821259056854,4.42559137547022,3.5650981419677685,5.287328332486099,6015.0,3.0667756958957957e-19,0.6427086427086427,9.200327087687387e-19,True,zero-shot > few-shot
google/gemma-4-E4B-it,one-shot,few-shot,259,39.49564604463926,37.95821259056854,1.537433454070715,0.7959134821700201,2.306451507803686,12417.0,0.00025113879016167603,0.2624294624294624,0.00025113879016167603,True,one-shot > few-shot
ibm-granite/granite-4.1-8b,zero-shot,one-shot,259,48.735926826948365,47.30774880191994,1.4281780250284204,0.8663775203771116,1.9974391340196818,10563.0,2.0202635451649406e-07,0.3725571725571726,4.040527090329881e-07,True,zero-shot > one-shot
ibm-granite/granite-4.1-8b,zero-shot,few-shot,259,48.735926826948365,47.08329048745881,1.6526363394895573,1.071463026963606,2.2395741749914455,9993.0,1.4295650874767053e-08,0.4064152064152064,4.288695262430116e-08,True,zero-shot > few-shot
ibm-granite/granite-4.1-8b,one-shot,few-shot,259,47.30774880191994,47.08329048745881,0.2244583144611372,-0.09338542019538443,0.5494553363093079,14890.0,0.1070104446115727,0.11553311553311553,0.1070104446115727,False,diferença não significativa
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,one-shot,259,53.9831616942947,53.0960795222102,0.8870821720844991,0.2830700487519785,1.5066740478051674,13826.0,0.012649426437517644,0.17873477873477872,0.012649426437517644,True,zero-shot > one-shot
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,few-shot,259,53.9831616942947,49.70335330153064,4.279808392764058,3.5177986175397185,5.05071595309784,5180.0,4.536218493518941e-22,0.6923076923076923,9.072436987037882e-22,True,zero-shot > few-shot
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,few-shot,259,53.0960795222102,49.70335330153064,3.392726220679559,2.8009358050924464,3.9981002613752508,4228.0,1.5102107784321147e-25,0.7488565488565488,4.530632335296344e-25,True,one-shot > few-shot
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,one-shot,259,50.2057487408627,42.470948950112096,7.734799790750601,6.852630534603559,8.64137259894241,1417.0,2.2170128794250144e-37,0.9158301158301159,6.651038638275043e-37,True,zero-shot > one-shot
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,few-shot,259,50.2057487408627,42.6963308338493,7.509417907013396,6.622628662395201,8.438967143343222,2020.0,1.2059928068016671e-34,0.88001188001188,2.4119856136033343e-34,True,zero-shot > few-shot
mistralai/Mistral-7B-Instruct-v0.3,one-shot,few-shot,259,42.470948950112096,42.6963308338493,-0.2253818837372033,-0.9084985867476374,0.44451456940197076,14700.0,0.09461012255047195,0.12005028284098052,0.09461012255047195,False,diferença não significativa
